level,title,sha256,md5,max_score,rateave,hardrec,difficulty
★12,Bird Sprite -Awakening of Light-,b65163959bbc3578177a27f9ca8959ffc7a4f3b8205b411c51598029c9bedb58,9598f209d0930626838a90976e01b25a,4398,98.397,13.92,7
★12,Borderline -F⇔M remix- [female],33ca753338b35be0b1ff982b888da1df69e4fd3989311184475d3c04141eed7c,c5fed10f9c17efc38546b53ba7248339,5110,96.5313,16.13,12
★12,Cold Breath (Another+),b5739c98de986ad8acd38ab74d28287b1c150e64181361d552091676ebf0cc57,551edb2af3291bdae8de517024fe5fcf,3540,97.726,12.77,7
★12,cold planet -Blue Marble-,d3f7d0633bb5e23db756d5e540c3aa82afbdf6b39b38b31191753433ddbf3601,18a3d4f7f8b1d35277e759e5643a4757,4000,95.7937,16.27,14
★12,compressed eyes -kusomiso-,0f68bd024f13f9556a23166b4c51d4ac709f8b47b9933a4e0061ac88344557d9,aa5641e22516f7ce27eaf3c346f086b3,3720,94.8051,14.98,17
★12,Cynthia -with moon light- (7-MANIAQ),903024848d242bcd799f2c6acfd14da183e82418813a8dfdb4d3832324d3b51a,9596078145f986fba5a3cd02ae1b02c8,3680,97.8125,17.95,11
★12,DISCHARGE RUSH[Creation_R],5cf486db41de810964f9003e8ae5b2b2c7cbc5c0cf671b8046c0eb44c5f6e920,4204bb56d82fd5e49bda4ea9d0184e25,4596,97.2803,16.64,10
★12,dolorosa melodia [Sanctae Crucis],d654b14255b67ab83d3cabad6fc6447bfbee97cdf6a604efe98c18a71a2c1a3f,f5665cbbf2a2d5f16b1591c5e5d2b505,5140,96.9796,17.05,11
★12,Eclipse -Luna- (7-ultimate kusofumen),52d74c9bd714ffefe3fb87a06f30dfae00f87278937019375d398740532b3842,f65bcf7712fd14d1292f4c7ee993ff6e,2768,94.1655,15.74,18
★12,Evangelize (Radio Edit) (SP ミラクル),b1d46024ca481612e2dd794ca7ec0944bb7f9dd3fc09387b771507b5efba07e9,7b00be2a087de2c29f5527fc439ac157,4724,98.5182,13.58,7
★12,Forceful Beat [HYPER],59bccfbe5c69b52f9521f4e3029a61b56eee3402540ccccc466892e72c45543e,f0a30ea2f7fcc6422ece0a042b8e053f,3000,93.5,20.76,19
★12,G e n g a o z o _ G O D,4ec0169d8dbce1d52d618f7efc295bc544ef49e7d9c6058080dcb661f0bea297,5110b92d997eabc3d2322556617632ad,7828,98.1413,17.91,13
★12,gravitronicⅡ,7b03373fd3e074d3795032571e329d0ae8828df81126882cc9dafbe1af303210,9fae1e5a23c4cfff9b443a6cc49a8855,4058,92.7242,19.71,21
★12,H.S : Hadron Strike [7Keys - Another],1c4ba78722c1feeb4878a4799bc089c8fa1afa5fa467189f17836a58901abce0,7d3ab8aaf3c959de5be583b8a468bb38,4580,97.1507,16.13,10
★12,HAELEQUIN,feff9638592434a8b1b0b18e8b3f156c8b2575a7fc4dc75f39d51ba20d0c46c2,3c9e6197ca0dbf5bba3cd1b83603643d,4148,92.9424,18.55,19
★12,Happy☆mooN(MANIAC),ee2c06eeea87bced0eacb3655571b6ae775935d5147ca7154a7e38f7c50ec6d2,d6f3d41748530fb28d3f5e7bf0bda7d6,4182,98.8582,15.4,10
★12,L9,c128c3fb81709910619423473e1a766de227f313cb4bacacdd83e02927eb2bce,8c5e74e4ee7e9f0f4d92c34fa6549df0,3008,95.0465,18.68,16
★12,M-A(FOOLISH),929d25d6b7dac15c1680c8f9b1be291ed4922a09aab084d3b97fff07821b134c,0ff509c4af2533d1e7e458c8d5985c0b,4446,96.6431,15.07,12
★12,Metatron [YHWH],8d323bd1c006f9774c9400b628266c0f4f51bf53ccfa854b863a273756ecff16,832a7a12d7c830e0eea307250450a78f,4200,98.2024,15.48,9
★12,MIGHTY OBSTACLE -FANTASTIC7-,365194a3e6822d4fb6ab27e40e87bc36c65f5b2887bbed195e4b06151bfac5ef,1219cd7f35d0019286629afb19ed2c28,5512,96.5167,16.28,12
★12,Mirage Garden[ANOTHER+],6e7dd9baf02c187c469bc8108b8bafefd1b07bfbc85b49e8d6e5ed45565874e0,ed155e5082127249407c747d2c44df0f,4938,94.2386,18.27,18
